 ,Label,Area,Mean,Min,Max,X,Y,%Area,MinThr,MaxThr,Ribo_NN_Dist,Ribo_EmpP,Ribo_CloserThanRand,Experiment
1365,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436864,0.065,378.618,311,459,39.723,20.684,70.103,310,65535,0.20631286920597128,0.1548801870251315,False,Exp84_C3
1366,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436865,0.077,463.425,317,604,47.404,20.677,82.474,310,65535,0.738740820585951,0.734073641145529,False,Exp84_C3
1367,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436870,0.093,530.196,312,721,43.93,20.92,100.0,310,65535,0.4183061080118235,0.43074225599064875,False,Exp84_C3
1368,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436871,0.07,381.164,315,451,38.483,20.981,75.258,310,65535,0.8674387586452377,0.8077147866744594,False,Exp84_C3
1369,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436868,0.089,424.581,311,553,39.07,20.802,95.876,310,65535,0.814313207555913,0.7808299240210403,False,Exp84_C3
1370,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436869,0.077,394.675,321,479,44.461,20.82,82.474,310,65535,0.7533478612168468,0.7405026300409118,False,Exp84_C3
1371,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436874,0.034,380.429,312,475,47.376,21.159,36.082,310,65535,0.7215608082483386,0.7247223845704267,False,Exp84_C3
1372,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436875,0.038,376.625,310,464,42.662,21.21,41.237,310,65535,0.5927242191778545,0.6130917592051431,False,Exp84_C3
1373,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436872,0.093,1163.247,952,1322,46.16,21.013,100.0,310,65535,0.31286578592105196,0.29222676797194624,False,Exp84_C3
1374,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436873,0.07,355.014,310,402,39.995,21.125,75.258,310,65535,0.6399062431325367,0.6569257744009351,False,Exp84_C3
